lat,long,count
40.662817,-73.881221,16
40.610729,-73.967644,18
40.849889,-73.916483,214
40.757317,-73.987881,1034
40.825472,-73.892941,1540
40.721464,-73.958355,56
40.833928,-73.911675,121
40.732828,-73.986063,831
40.694715,-73.974390,139
40.737892,-73.846478,89
40.720872,-73.986556,49
40.612527,-73.951897,67
40.683279,-73.755642,10
40.690413,-73.946771,92
40.721145,-73.994283,43
40.842273,-73.872241,4237
40.676400,-73.958286,116
40.709380,-73.800053,9
40.644982,-74.077321,517
40.758070,-73.833473,123
40.643700,-73.941561,12
40.539578,-74.204982,7
40.710597,-73.998977,125
40.687174,-73.835806,30
40.755942,-73.873186,71
40.707876,-74.013278,236
40.593351,-73.964491,29
40.679685,-73.906050,1525
40.751169,-73.988957,125
40.764172,-73.791643,3
40.758857,-73.988617,1280
40.848080,-73.863811,11
40.765913,-73.980944,802
40.827825,-73.925345,5083
40.532702,-74.154184,3
40.865750,-73.901864,115
40.844483,-73.914650,712
40.680376,-73.844184,738
40.628733,-73.991503,20
40.714488,-73.990489,1145
40.667443,-73.833320,479
40.811091,-73.856742,6
40.690564,-73.981878,3277
40.816754,-73.948183,645
40.756798,-73.971111,1412
40.857454,-73.847543,979
40.640022,-73.983340,44
40.580958,-73.837781,1232
40.734813,-73.955016,30
40.837225,-73.887295,944
40.755069,-73.987672,131
40.655718,-73.945259,757
40.719198,-73.859086,3
40.885772,-73.830263,12
40.560677,-74.169824,87
40.665146,-73.912994,36
40.718900,-74.002317,66
40.755187,-73.983871,382
40.536549,-74.181329,4
40.587998,-73.813752,590
40.638707,-73.946819,749
40.767733,-73.784268,5
40.826282,-73.920708,2750
40.749801,-73.863456,3286
40.675896,-73.904800,621
40.813948,-73.914339,155
40.590146,-74.163951,4
40.756718,-73.980640,311
40.697634,-73.934604,558
40.863223,-73.890411,122
40.598308,-73.996977,87
40.708338,-73.957635,389
40.601155,-73.766386,2
40.850810,-73.931739,232
40.747051,-73.891472,5992
40.797023,-73.963588,393
40.822992,-73.896872,395
40.856570,-73.902271,148
40.681952,-73.972391,57
40.577426,-73.968553,69
40.696527,-73.916347,75
40.589647,-74.157285,5
40.689100,-73.997041,7
40.671221,-73.959583,1659
40.721574,-73.843903,2146
40.632546,-73.975344,14
40.738053,-73.916804,12
40.707726,-73.939182,306
40.625810,-74.005293,40
40.749218,-73.868944,4553
40.760932,-73.816586,12
40.630682,-73.973554,257
40.786196,-73.951699,197
40.653009,-73.957883,138
40.798155,-73.968240,48
40.677444,-73.952744,53
40.611552,-73.950763,6
40.734961,-73.990490,4710
40.683549,-73.988496,512
40.815680,-73.918036,666
40.767606,-73.981734,3240
40.789310,-73.973838,452
40.622645,-73.962332,34
40.639794,-73.987167,20
40.638589,-73.908529,33
40.731033,-73.953125,617
40.805456,-73.945013,61
40.851363,-73.933051,114
40.645845,-74.022105,24
40.769985,-73.991647,40
40.716642,-73.839921,2
40.759295,-73.969283,90
40.805830,-73.961781,634
40.840849,-73.940055,6816
40.824377,-73.944514,4344
40.849588,-73.934350,2866
40.712411,-73.826217,1637
40.638546,-73.973054,32
40.808453,-73.944989,136
40.629593,-74.162690,323
40.705025,-73.910194,39
40.772842,-73.780796,3
40.818137,-73.936766,92
40.670956,-73.954072,114
40.625549,-74.118042,9
40.720834,-74.005229,1774
40.747691,-73.883469,2255
40.799845,-73.964287,313
40.859061,-73.886343,62
40.798293,-73.940822,2647
40.883236,-73.862998,594
40.605746,-74.003048,95
40.657943,-73.948880,470
40.760116,-73.791544,23
40.886056,-73.878757,3150
40.876886,-73.879573,33
40.678815,-73.957423,95
40.663274,-73.995117,23
40.809250,-73.915909,102
40.836185,-73.944092,37
40.587510,-74.102954,101
40.663224,-73.949445,1062
40.777382,-73.950561,550
40.678004,-73.970445,158
40.648929,-73.962977,73
40.668350,-73.906516,253
40.827243,-73.869650,24
40.664100,-73.943389,99
40.795746,-73.942681,742
40.878704,-73.845274,20
40.756046,-73.984867,298
40.764402,-73.965559,303
40.845080,-73.892649,136
40.813737,-73.958594,595
40.836237,-73.887322,199
40.710441,-73.968523,45
40.862255,-73.926297,100
40.850316,-73.936211,69
40.748281,-73.877881,103
40.804046,-73.936620,7410
40.750431,-73.989282,3649
40.802540,-73.954938,329
40.694014,-73.978743,185
40.746796,-73.981679,163
40.718244,-73.958368,1593
40.842623,-73.935868,87
40.792412,-73.972428,231
40.749481,-73.876677,2167
40.779914,-73.961604,8
40.676913,-73.899524,173
40.764694,-73.914348,261
40.788323,-73.976496,445
40.830592,-73.913634,128
40.844431,-73.882906,47
40.734712,-74.002181,4
40.621185,-73.964495,52
40.797532,-73.968699,76
40.691151,-73.797699,38
40.647134,-73.893040,26
40.654951,-73.961723,331
40.816319,-73.917204,936
40.697144,-73.836784,529
40.600827,-74.112474,23
40.683453,-73.987213,90
40.872093,-73.852683,18
40.840581,-73.932129,74
40.759529,-73.984397,85
40.654071,-73.951380,154
40.773511,-73.987206,60
40.629617,-73.990584,5
40.734209,-73.989343,419
40.594467,-73.751214,102
40.702439,-73.817155,148
40.707888,-73.847333,57
40.730757,-74.000770,309
40.807919,-73.919017,890
40.744688,-73.886730,252
40.800726,-73.950634,27
40.584980,-73.811172,124
40.842058,-73.884312,309
40.811588,-73.918941,139
40.811500,-73.946432,121
40.688010,-73.944840,12
40.677884,-73.820070,27
40.624317,-74.026245,29
40.608289,-73.816170,2862
40.877454,-73.866673,2295
40.721738,-73.803905,26
40.875374,-73.841025,5
40.732802,-74.003252,33
40.550339,-74.140489,6
40.815408,-73.939908,85
40.736723,-73.859214,15
40.686396,-73.949096,193
40.624001,-74.027862,26
40.665757,-73.961439,30
40.866040,-73.894520,1281
40.725698,-73.850997,46
40.577904,-73.960101,2119
40.601463,-73.953507,3
40.751600,-73.992043,5912
40.798455,-73.948082,509
40.830145,-73.891376,1179
40.716522,-73.984930,28
40.807264,-73.956109,120
40.620592,-74.026996,111
40.708761,-73.957699,2477
40.730811,-73.948333,65
40.700702,-73.807252,2034
40.734677,-73.858169,52
40.725075,-74.003000,40
40.760462,-73.984675,121
40.813089,-73.957980,487
40.829845,-73.938670,1188
40.897977,-73.845594,105
40.811113,-73.952349,4426
40.597328,-73.950493,35
40.791998,-73.949719,240
40.877315,-73.885224,19
40.700893,-73.807814,132
40.798160,-73.938403,215
40.651631,-73.951115,76
40.587569,-73.946593,17
40.878713,-73.863441,63
40.856639,-73.867123,190
40.858436,-73.928796,112
40.884967,-73.891286,21
40.721355,-73.988147,651
40.825590,-73.909067,193
40.840784,-73.936253,35
40.732019,-74.000734,4003
40.676018,-73.905449,258
40.833059,-73.929802,43
40.755457,-74.002232,1660
40.726288,-73.987796,233
40.669652,-73.864194,127
40.587272,-73.970554,17
40.830394,-73.894028,44
40.807085,-73.943831,1290
40.657058,-73.917712,115
40.684462,-73.977751,4385
40.719220,-74.007819,502
40.726694,-73.985952,82
40.776071,-73.951522,127
40.800252,-73.940438,70
40.658680,-73.917393,116
40.768251,-73.935026,37
40.876320,-73.848599,86
40.808778,-73.923131,215
40.711012,-73.966615,6
40.793075,-73.971088,182
40.717331,-73.984519,8
40.818016,-73.845509,192
40.712271,-74.007883,29
40.740951,-73.992127,418
40.765186,-73.971298,40
40.667100,-73.932677,164
40.723508,-73.869463,9
40.862114,-73.925072,786
40.749720,-73.938466,699
40.700356,-73.735419,6
40.874217,-73.878532,1467
40.815358,-73.957375,103
40.867363,-73.922163,1011
40.726975,-73.978282,74
40.805952,-73.957952,902
