lat,long,count
40.8183,-73.9426,130352
40.7918,-73.9447,351330
40.7443,-73.9781,218869
40.67,-73.9367,238789
40.7571,-73.9657,130662
40.6762,-73.8736,360319
40.8153,-73.9072,248040
40.8261,-73.8196,105622
40.6251,-74.0303,138246
40.7651,-73.9858,216624
40.7006,-73.918,146925
40.8496,-73.9356,172854
40.7152,-73.9877,300531
40.7166,-74.0146,8884
40.7255,-73.9983,80061
40.7375,-73.9813,112349
40.5682,-74.1184,119121
40.6907,-73.9274,318281
40.7012,-73.9436,306932
40.7143,-74.006,37941
40.6769,-73.8448,64774
40.7185,-74.0025,152938
40.5923,-73.7933,62810
40.6174,-74.0121,62103
40.7374,-73.7951,61603
40.6039,-74.1472,164673
40.7313,-73.9892,240348
40.7764,-73.9827,126975
40.6868,-73.823,104352
40.8662,-73.9003,288434
40.7446,-73.9345,163012
40.7402,-73.9996,186658
40.6336,-73.996,99425
40.6838,-73.8514,53509
40.8085,-73.9198,242026
40.7119,-73.7944,210391
40.679,-73.9644,153829
40.8194,-73.8606,217886
40.6816,-73.9798,148602
40.6775,-73.7758,197771
40.6705,-73.894,456583
40.7143,-74.006,46859
40.6625,-73.9145,432004
40.8316,-73.9099,472473
40.6016,-73.9968,166036
40.852,-73.9129,366863
40.5839,-73.9536,215003
40.7262,-73.9796,212803
40.8116,-73.955,288315
40.8409,-73.8794,288656
40.5766,-73.8428,51178
40.7597,-73.9918,236760
40.6467,-73.957,323462
40.6521,-74.0018,74182
40.8382,-73.942,211657
40.8222,-73.9217,310546
40.8633,-73.8895,346434
40.5979,-73.9743,136925
40.7484,-73.9967,278508
40.7351,-73.8776,172659
40.7763,-73.9529,81177
40.7808,-73.9772,2844
40.6784,-73.9211,344292
40.7513,-73.883,148612
40.6306,-74.1379,54144
40.7036,-73.8961,178561
40.8265,-73.9383,111200
40.7095,-73.9563,137724
40.8019,-73.9531,144605
40.7142,-73.7677,66764
40.8798,-73.9067,182678
40.7975,-73.9683,259923
40.7339,-74.0054,90254
40.6281,-73.9467,131540
40.6794,-73.9496,227292
40.8246,-73.9507,183444
40.6969,-73.7877,137088
40.5767,-73.9884,235460
40.8139,-73.8841,81644
40.7453,-73.8611,196269
40.6744,-73.819,93436
40.745,-73.9069,145607
40.6225,-73.965,140523
40.8434,-73.8602,225828
40.8247,-73.894,282523
40.7101,-74.0013,80725
40.8904,-73.8503,213186
40.8011,-73.9371,344343
40.8583,-73.9296,103454
40.5457,-74.1792,81974
40.6102,-74.0878,130166
40.7547,-73.9925,148538
40.7855,-73.845,33310
40.8376,-73.9216,327719
40.7229,-73.8473,117866
40.8737,-73.8712,359743
40.6451,-73.945,50095
40.7085,-74.0135,13123
40.6621,-73.7353,56805
40.8662,-73.9221,110081
40.6669,-73.9828,119899
40.6205,-73.9239,167157
40.7606,-73.7968,42301
40.7627,-73.9149,68727
40.6794,-74.0014,93630
40.7347,-73.723,27184
40.6407,-73.9028,226826
40.694,-73.9903,296148
40.6324,-74.1171,64198
40.7038,-74.0098,1278
40.8486,-73.8999,423069
40.7029,-73.8111,171117
40.8295,-73.8716,249217
40.7816,-73.9511,102102
40.6076,-73.8198,49467
40.8135,-73.9381,93422
40.6179,-73.9856,114880
40.6628,-73.9546,163179
40.6982,-73.8345,85299
40.6505,-73.9349,234003
40.7272,-73.9498,90924
40.7517,-73.9707,122100
40.7139,-74.007,54697
40.6006,-73.758,191933
40.5973,-74.0768,98966
40.5352,-74.2116,48490
40.7763,-73.911,55789
40.7591,-73.7326,24915
40.7651,-73.9638,81161
40.8465,-73.841,178606
40.7608,-73.9295,92017
40.7611,-73.8916,98709
40.7536,-73.8226,118931
40.7239,-73.8997,57525
40.6958,-73.7617,87091
40.7173,-73.8792,48731
40.6316,-74.0927,154873
40.8729,-73.8278,122440
40.7277,-73.7489,69732
40.7627,-73.7745,40480
40.6301,-74.1607,70204
40.6412,-74.0133,194464
40.6424,-73.9758,129035
40.6924,-73.9666,134953
40.7667,-73.8241,133298
40.6011,-73.9475,140544
40.7851,-73.8096,48470
40.6588,-73.8438,49215
40.7613,-73.8739,66524
40.9,-73.8622,49224
40.728,-73.8195,61906
40.6763,-73.7966,48691
40.709,-73.7401,57890
40.7864,-73.9764,116268
40.7685,-73.9588,78610
40.7208,-73.7433,39203
40.7496,-73.9919,11545
40.8702,-73.8495,181835
40.7706,-73.9265,72791
40.6947,-73.7374,38052
40.9011,-73.9053,48426
40.6913,-73.8585,69780
40.7278,-73.8602,74359
40.6645,-73.7559,88072
40.7436,-73.9216,46154
40.7481,-73.7114,23713
40.7807,-73.7812,28514
40.5518,-74.1526,40380
40.6497,-73.8824,54688
40.5085,-74.2445,18310
40.7618,-73.9505,9482
40.8469,-73.7874,13440
40.7069,-73.8297,38034
40.7428,-73.7588,41510
40.7105,-74.0163,6989
40.7571,-73.7182,11743
40.7236,-73.7058,5187
40.5594,-73.9067,4347
40.7272,-73.7949,29442
40.7354,-73.9968,8579
40.6451,-73.945,248
40.7294,-73.6828,8689
40.7722,-73.7454,9198
40.6472,-73.7827,29798
40.7524,-73.9791,2622
40.7056,-74.0083,19791
40.7652,-73.9804,1316
40.7089,-74.0111,580
40.7152,-74.0038,2239
40.7514,-73.9785,297
40.7519,-73.9768,2352
40.7928,-73.7767,6559
40.7494,-73.9758,192
40.7515,-73.9905,477
40.7547,-73.9766,591
40.7583,-73.9735,416
40.778,-73.9884,3873
40.7628,-73.9785,483
40.7564,-73.9748,188
40.7664,-73.9827,537
40.7553,-73.9761,110
40.7127,-74.0078,255
40.7641,-73.9735,1313
40.6451,-73.945,337
40.7146,-74.015,2494
40.749,-73.9865,1493
40.7593,-73.9798,2208
40.7611,-73.968,149
40.7699,-73.9511,1657
40.7454,-73.9575,2665
40.6514,-73.8708,365
40.6451,-73.945,401
40.7808,-73.9772,202
40.8111,-73.9642,147
40.7506,-73.9894,585
40.7526,-73.9755,444
40.7517,-73.9752,277
40.7543,-73.9796,131
40.7518,-73.9922,232
40.7634,-73.974,147
40.7808,-73.9772,252
40.7556,-73.9789,157
40.7589,-73.973,130
40.9045,-73.8073,155
40.7603,-73.9762,1067
40.7558,-73.9753,682
40.7549,-73.975,256
40.754,-73.9808,203
40.7592,-73.9778,1330
40.7808,-73.9772,56
40.7086,-74.0087,32
40.7721,-73.8735,49
40.7546,-73.9762,10
40.7543,-73.9798,1
42.8142,-73.9396,16
40.7143,-74.006,3
