lat,long,count
40.849889,-73.916483,214
40.757317,-73.987881,1034
40.825472,-73.892941,1540
40.833928,-73.911675,121
40.732828,-73.986063,831
40.694715,-73.974390,139
40.842273,-73.872241,4237
40.676400,-73.958286,116
40.644982,-74.077321,517
40.758070,-73.833473,123
40.710597,-73.998977,125
40.707876,-74.013278,236
40.679685,-73.906050,1525
40.751169,-73.988957,125
40.758857,-73.988617,1280
40.765913,-73.980944,802
40.827825,-73.925345,5083
40.865750,-73.901864,115
40.844483,-73.914650,712
40.680376,-73.844184,738
40.714488,-73.990489,1145
40.667443,-73.833320,479
40.690564,-73.981878,3277
40.816754,-73.948183,645
40.756798,-73.971111,1412
40.857454,-73.847543,979
40.580958,-73.837781,1232
40.837225,-73.887295,944
40.755069,-73.987672,131
40.655718,-73.945259,757
40.755187,-73.983871,382
40.587998,-73.813752,590
40.638707,-73.946819,749
40.826282,-73.920708,2750
40.749801,-73.863456,3286
40.675896,-73.904800,621
40.813948,-73.914339,155
40.756718,-73.980640,311
40.697634,-73.934604,558
40.863223,-73.890411,122
40.708338,-73.957635,389
40.850810,-73.931739,232
40.747051,-73.891472,5992
40.797023,-73.963588,393
40.822992,-73.896872,395
40.856570,-73.902271,148
40.671221,-73.959583,1659
40.721574,-73.843903,2146
40.707726,-73.939182,306
40.749218,-73.868944,4553
40.630682,-73.973554,257
40.786196,-73.951699,197
40.653009,-73.957883,138
40.734961,-73.990490,4710
40.683549,-73.988496,512
40.815680,-73.918036,666
40.767606,-73.981734,3240
40.789310,-73.973838,452
40.731033,-73.953125,617
40.851363,-73.933051,114
40.805830,-73.961781,634
40.840849,-73.940055,6816
40.824377,-73.944514,4344
40.849588,-73.934350,2866
40.712411,-73.826217,1637
40.808453,-73.944989,136
40.629593,-74.162690,323
40.670956,-73.954072,114
40.720834,-74.005229,1774
40.747691,-73.883469,2255
40.799845,-73.964287,313
40.798293,-73.940822,2647
40.883236,-73.862998,594
40.657943,-73.948880,470
40.886056,-73.878757,3150
40.809250,-73.915909,102
40.587510,-74.102954,101
40.663224,-73.949445,1062
40.777382,-73.950561,550
40.678004,-73.970445,158
40.668350,-73.906516,253
40.795746,-73.942681,742
40.756046,-73.984867,298
40.764402,-73.965559,303
40.845080,-73.892649,136
40.813737,-73.958594,595
40.836237,-73.887322,199
40.862255,-73.926297,100
40.748281,-73.877881,103
40.804046,-73.936620,7410
40.750431,-73.989282,3649
40.802540,-73.954938,329
40.694014,-73.978743,185
40.746796,-73.981679,163
40.718244,-73.958368,1593
40.792412,-73.972428,231
40.749481,-73.876677,2167
40.676913,-73.899524,173
40.764694,-73.914348,261
40.788323,-73.976496,445
40.830592,-73.913634,128
40.654951,-73.961723,331
40.816319,-73.917204,936
40.697144,-73.836784,529
40.654071,-73.951380,154
40.734209,-73.989343,419
40.594467,-73.751214,102
40.702439,-73.817155,148
40.730757,-74.000770,309
40.807919,-73.919017,890
40.744688,-73.886730,252
40.584980,-73.811172,124
40.842058,-73.884312,309
40.811588,-73.918941,139
40.811500,-73.946432,121
40.608289,-73.816170,2862
40.877454,-73.866673,2295
40.686396,-73.949096,193
40.866040,-73.894520,1281
40.577904,-73.960101,2119
40.751600,-73.992043,5912
40.798455,-73.948082,509
40.830145,-73.891376,1179
40.807264,-73.956109,120
40.620592,-74.026996,111
40.708761,-73.957699,2477
40.700702,-73.807252,2034
40.760462,-73.984675,121
40.813089,-73.957980,487
40.829845,-73.938670,1188
40.897977,-73.845594,105
40.811113,-73.952349,4426
40.791998,-73.949719,240
40.700893,-73.807814,132
40.798160,-73.938403,215
40.856639,-73.867123,190
40.858436,-73.928796,112
40.721355,-73.988147,651
40.825590,-73.909067,193
40.732019,-74.000734,4003
40.676018,-73.905449,258
40.755457,-74.002232,1660
40.726288,-73.987796,233
40.669652,-73.864194,127
40.807085,-73.943831,1290
40.657058,-73.917712,115
40.684462,-73.977751,4385
40.719220,-74.007819,502
40.776071,-73.951522,127
40.658680,-73.917393,116
40.808778,-73.923131,215
40.793075,-73.971088,182
40.818016,-73.845509,192
40.740951,-73.992127,418
40.667100,-73.932677,164
40.862114,-73.925072,786
40.749720,-73.938466,699
40.874217,-73.878532,1467
40.815358,-73.957375,103
40.867363,-73.922163,1011
40.805952,-73.957952,902
40.700997,-74.012913,260
40.737827,-73.861868,138
40.678156,-73.942454,173
40.714075,-73.950500,1023
40.742286,-73.980637,166
40.871461,-73.867708,835
40.865788,-73.926572,861
40.794953,-73.971437,4870
40.889148,-73.830385,351
40.751112,-73.975249,333
40.589463,-73.810004,253
40.674393,-74.006858,266
40.616339,-74.030953,217
40.810726,-73.926622,1258
40.729505,-73.998248,139
