('Lincoln Medical & Mental Health Center', [40.8183, -73.9426]): 0.0
('Harlem Hospital Center', [40.8183, -73.9426]): 130352.0
('New York Presbyterian Hospital - Columbia Presbyterian Center', [40.8183, -73.9426]): 0.0
('Mount Sinai Hospital', [40.7918, -73.9447]): 0.0
('Harlem Hospital Center', [40.7918, -73.9447]): 0.0
('Metropolitan Hospital Center', [40.7918, -73.9447]): 351330.0
('New York Presbyterian Hospital - New York Weill Cornell Center', [40.7443, -73.9781]): 0.0
('Bellevue Hospital Center', [40.7443, -73.9781]): 0.0
('Hospital for Special Surgery', [40.7443, -73.9781]): 0.0
('NYU Hospitals Center', [40.7443, -73.9781]): 218869.0
('Memorial Hospital for Cancer and Allied Diseases', [40.7443, -73.9781]): 0.0
('Interfaith Medical Center', [40.67, -73.9367]): 238789.0
('Kings County Hospital Center', [40.67, -73.9367]): 0.0
('Kingsbrook Jewish Medical Center', [40.67, -73.9367]): 0.0
('New York Presbyterian Hospital - New York Weill Cornell Center', [40.7571, -73.9657]): 0.0
('Hospital for Special Surgery', [40.7571, -73.9657]): 130662.0
('Memorial Hospital for Cancer and Allied Diseases', [40.7571, -73.9657]): 0.0
('Lenox Hill Hospital', [40.7571, -73.9657]): 0.0
('Brookdale Hospital Medical Center', [40.6762, -73.8736]): 0.0
('Woodhull Medical & Mental Health Center', [40.6762, -73.8736]): 0.0
('University Hospital of Brooklyn', [40.6762, -73.8736]): 0.0
('Interfaith Medical Center', [40.6762, -73.8736]): 360319.0
('Elmhurst Hospital Center', [40.6762, -73.8736]): 0.0
('Kings County Hospital Center', [40.6762, -73.8736]): 0.0
('Wyckoff Heights Medical Center', [40.6762, -73.8736]): 0.0
('Kingsbrook Jewish Medical Center', [40.6762, -73.8736]): 0.0
('Jamaica Hospital Medical Center', [40.6762, -73.8736]): 0.0
('Lincoln Medical & Mental Health Center', [40.8153, -73.9072]): 248040.0
('Harlem Hospital Center', [40.8153, -73.9072]): 0.0
('New York Presbyterian Hospital - Columbia Presbyterian Center', [40.8153, -73.9072]): 0.0
('Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div', [40.8261, -73.8196]): 0.0
('Calvary Hospital Inc', [40.8261, -73.8196]): 105622.0
('Jacobi Medical Center', [40.8261, -73.8196]): 0.0
('Richmond University Medical Center', [40.6251, -74.0303]): 0.0
('Maimonides Medical Center', [40.6251, -74.0303]): 0.0
('New York Community Hospital of     Brooklyn', [40.6251, -74.0303]): 0.0
('Beth Israel Med Center-Kings Hwy Div', [40.6251, -74.0303]): 138246.0
('New York Presbyterian Hospital - New York Weill Cornell Center', [40.7651, -73.9858]): 0.0
